file              |V|   alpha(G)      recursive calls
g4.in               4          2                    8
g30.in             30         14                19371
g40.in             40         16               176107
g50.in             50         19              1234270
g60.in             60         20             10018547
file              |V|   alpha(G)      recursive calls
g4.in               4          2                    6
g30.in             30         14                  127
g40.in             40         16                 1581
g50.in             50         19                 7278
g60.in             60         20                40185
g70.in             70         22               177724
g80.in             80         24               752851
g90.in             90         26              2689701
g100.in           100         27             10713200
file              |V|   alpha(G)      recursive calls
g4.in               4          2                    3
g30.in             30         14                   36
g40.in             40         16                  251
g50.in             50         19                 1321
g60.in             60         20                 7037
g70.in             70         22                28803
g80.in             80         24               115675
g90.in             90         26               377972
g100.in           100         27              1386579
g110.in           110         29              4432683
g120.in           120         30             13265744
